website-url,category,products-link-href,products-name,,,,,,,
https://www.daraz.com.bd/,Interior Accessories,https://www.daraz.com.bd/products/car-tissue-box-brown-i153638591-s1082286785.html?search=1,Car Tissue Box - Brown,,,,,,,
https://www.daraz.com.bd/,Exterior Accessories,https://www.daraz.com.bd/products/black-rear-door-electric-power-window-switch-for-holden-commodore-1997-2002-i153368700-s1081806026.html?search=1,Black Rear Door Electric Power Window Switch For Holden Commodore 1997-2002,,,,,,,
https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/products/multi-purpose-spray-lubricant-400ml-i151896426-s1079302079.html?search=1,Multi Purpose Spray Lubricant - 400ml,,,,,,,
https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/products/original-flamingo-fuel-gasoline-injector-cleaner-car-system-petrol-saver-save-gas-oil-additive-restore-peak-performance-725oz-250ml-i124461411-s1044710523.html?search=1,Original flamingo  Fuel Gasoline Injector Cleaner Car System Petrol Saver Save Gas Oil Additive Restore Peak Performance 7.25OZ- 250ml,,,,,,,
https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/products/front-name-plate-for-motorcycle-black-i153262842-s1081654656.html?search=1,Front Name Plate For Motorcycle -Black,,,,,,,
https://www.daraz.com.bd/,Auto Oils & Fluids,https://www.daraz.com.bd/products/race-4t-nano-xp-sn-jaso-ma2-10w30-fully-synthetic-1l-i148728142-s1074836330.html?search=1,"RACE 4T NANO XP, SN JASO MA2, 10W30, Fully Synthetic (1L)",,,,,,,
https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/products/sticker-for-bike-bike-apacheyamahahondasuzuki-decoration-i152826497-s1080948364.html?search=1,Sticker for Bike Bike Apache/Yamaha/Honda/Suzu.ki Decoration,,,,,,,
https://www.daraz.com.bd/,Interior Accessories,https://www.daraz.com.bd/products/key-ring-anti-lost-key-ring-blue-i153432853-s1081934910.html?search=1,key ring Anti-Lost Key Ring - Blue,,,,,,,
https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/products/adh-open-face-cap-helmet-red-i152716619-s1080794059.html?search=1,ADH Open Face Cap Helmet - RED,,,,,,,
https://www.daraz.com.bd/,Motorcycle Riding Gear,https://www.daraz.com.bd/products/xbk-961-full-face-helmet-for-men-skullz-matt-blue-i152744865-s1080840848.html?search=1,XBK-961 Full Face Helmet for Men Skullz -Matt BLUE,,,,,,,
https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/products/carbon-fiber-motorcycle-fuel-oil-gas-tank-pad-protector-sticker-decals-universal-motorcycle-accessories-i153556992-s1082146713.html?search=1,Carbon Fiber Motorcycle Fuel Oil Gas Tank Pad Protector Sticker Decals Universal Motorcycle Accessories,,,,,,,
https://www.daraz.com.bd/,Motorcycle,https://www.daraz.com.bd/products/silencer-guard-for-apache-4v-i152660104-s1080616232.html?search=1,Silencer guard for Apache 4v,,,,,,,
https://www.daraz.com.bd/,Exterior Vehicle Care,https://www.daraz.com.bd/products/microfiber-car-cleaning-towel-4040cm-car-wash-microfiber-towel-super-absorbent-premium-quality-i148248472-s1074172686.html?search=1,Microfiber Car Cleaning Towel 40*40/cm Car Wash Microfiber Towel Super Absorbent - (premium quality),,,,,,,
https://www.daraz.com.bd/,Car Audio,https://www.daraz.com.bd/products/lepy-lp-2051-class-t-2-50w-2ch-power-output-home-audio-amplifier-evton-no-ratings-i137170666-s1059626042.html?search=1,Lepy LP-2051 Class T 2 * 50W 2CH Power Output Home Audio Amplifier-Evton No Ratings,,,,,,,
