website-url,category,products-link-href,products-name
https://www.jadroo.com/,Health Care,https://www.jadroo.com/products/rainbow-hand-towel-200-sheets, Rainbow Hand Towel 200 Sheets
https://www.jadroo.com/,Health Care,https://www.jadroo.com/products/rainbow-facial-tissue-240-sheets-buy-2-get-1-free,Rainbow Facial Tissue 240 Sheets (Buy 2 Get 1 free)

https://www.jadroo.com/,Sports & Fitness,https://www.jadroo.com/sport-waist-bags,Sports Fitness Workout Waist Pack
https://www.jadroo.com/,Supermarket,https://www.jadroo.com/la-espanola-olive-oil-1-ltr-pomace,La-Espanola Olive Oil 1 ltr Pomace
https://www.jadroo.com/,Supermarket,https://www.jadroo.com/white-pepper-50gm,White Pepper (সাদা গোল মরিচ) 50gm
https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/pampers-jumbo-pack-large-9-14kg-44-diapers,Pampers Jumbo pack Large 9-14Kg (44 Diapers)
https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/nokia-22,Nokia 2.2 (3/32)GB Smart Mobile Phone
https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/panasonic-ac-inverter-10-ton-cs-ks12-vky-81-white,Panasonic AC Inverter 1.0 Ton CS-KS12 VKY-81 - White
https://www.jadroo.com/,Men Fashion,https://www.jadroo.com/eternal-love-bd-luxury-musk-200-ml,Eternal Love BD Luxury Musk 200 ml
https://www.jadroo.com/,Supermarket,https://www.jadroo.com/cubeb-50gm,Cubeb (কাবাব চিনি) 50gm
https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/pampers-value-pack-large-9-14kg-24-diapers,Pampers Value Pack Large 9-14Kg (24 Diapers)
https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/sony-kd-43x7500e-43-inch-4k-ultra-hd-smart-tv,Sony KD-43X7500E 43 Inch 4K Ultra HD Smart TV
https://www.jadroo.com/,Kids & Mom,https://www.jadroo.com/mini-villa-led-light-princess-bedroom-handmade-doll-house,Mini-Villa LED Light Princess Bedroom Handmade Doll House
https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/car-charger-2-4a-output,Smart 2-Port USB Car Charger
https://www.jadroo.com/,Home Decor,https://www.jadroo.com/bed-sheet-set-1-bed-sheet-1-comforter-cover-2-pillow-cover-3200,Bed Sheet Set 1 Bed Sheet 1 Comforter Cover 2 Pillow Cover
https://www.jadroo.com/,Sports & Fitness,https://www.jadroo.com/children-s-bicycle-6,Children's Bicycle
https://www.jadroo.com/,Home Decor,https://www.jadroo.com/sofa-cover-8,Sofa Cover
https://www.jadroo.com/,Health Care,https://www.jadroo.com/kn95-face-mask-original-and-certified,KN95 Face Mask Original and Certified
https://www.jadroo.com/,Personal Care,https://www.jadroo.com/dettol-soap-cool-bathing-bar-soap-75gm-monthly-pack,Dettol Soap Cool Bathing Bar Soap 75gm monthly pack
https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/jadroo-pedestal-fan-16-inch-fs40white-2,JadRoo Pedestal Fan 16'' inch FS40(White)
https://www.jadroo.com/,Home Decor,https://www.jadroo.com/geometric-pattern-rug-anti-slip-floor-mat,Geometric Pattern Rug Anti Slip Floor Mat
https://www.jadroo.com/,Personal Care,https://www.jadroo.com/veet-hair-removal-cream-for-normal-skin-50gm-2,Veet Hair Removal Cream for Normal Skin 50gm
https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/foldable-desktop-phone-stand-holder-3,Foldable Desktop Phone Stand Holder
https://www.jadroo.com/,Home Appliances,https://www.jadroo.com/jadroo-electric-geyser-15-gallon-68-litre-ms-sheet,JADROO ELECTRIC GEYSER 15 GALLON 68 LITRE MS SHEET.
https://www.jadroo.com/,Sports & Fitness,https://www.jadroo.com/amengqi-baby-girls-bi-cycle,Amengqi Baby Girls Bi-Cycle
https://www.jadroo.com/,Health Care,https://www.jadroo.com/meril-milk-soap-white-100g-made-in-bangladesh,Meril White Milk Soap
https://www.jadroo.com/,Mobile & Computer,https://www.jadroo.com/iphone-x-mobile-phone-2,iPhone X Mobile Phone
https://www.jadroo.com/,Personal Care,https://www.jadroo.com/bath-ball-sponge-brush,Bath Ball Sponge Brush
https://www.jadroo.com/,Supermarket,https://www.jadroo.com/doux-chicken-franks-sausage-340-gm,Doux Chicken Franks Sausage 340 gm
https://www.jadroo.com/,Sports & Fitness,https://www.jadroo.com/magnet-dart-board-dart-boards-for-children,Rabosky Magnetic Dart Board for Kids
