website-url,category,products-link-href,products-name
https://www.othoba.com/,Women,https://www.othoba.com/ladies-fashion-leggings-gray-all-over-print-wc201718l-color,Ladies Fashion Leggings Gray All Over Print WC201718L
https://www.othoba.com/,Books & Stationery,https://www.othoba.com/inferno,ইনফার্নো  হার্ডকভার
https://www.othoba.com/,Food & Grocery,https://www.othoba.com/pran-full-cream-milk-powder-500gm-4000000002,PRAN Full Cream Milk Powder 500gm
https://www.othoba.com/,Men,https://www.othoba.com/winner-mens-polo-shirt-navy-and-black,Winner Men's Polo Shirt Navy And Black
https://www.othoba.com/,Women,https://www.othoba.com/walkar-ladies-flat-back-belt-sandal-560311303,Walkar Ladies Flat-Back Belt Sandal
https://www.othoba.com/,Women,https://www.othoba.com/ladies-padded-bra-w-17-,Ladies Padded Bra W-17-WB0003 Skin
https://www.othoba.com/,Food & Grocery,https://www.othoba.com/sixers-15gm-x-25pcs,Sixers 15gm X 25pcs
https://www.othoba.com/,Food & Grocery,https://www.othoba.com/taini-fish-1kg,Taini Fish (টাটকিনি মাছ) 1KG
https://www.othoba.com/,Men,https://www.othoba.com/winner-mens-polo-shirt-wc201725-wfs00404,Winner Men's Polo Shirt WC201725
https://www.othoba.com/,Electronics,https://www.othoba.com/passenger-lift-ml003,Passenger Lift
https://www.othoba.com/,Food & Grocery,https://www.othoba.com/tango-250ml-tst00217,Tango 250ml
https://www.othoba.com/,More,https://www.othoba.com/maxima-hdpe-pipe-corporate-order,Maxima HDPE Pipe Corporate Order
https://www.othoba.com/,Men,https://www.othoba.com/skmei-mens-quartz-belt-wrist-watch-9147bb,Skmei Men's Quartz Belt Wrist Watch 9147BB
https://www.othoba.com/,Home & Living,https://www.othoba.com/blaze-ac-led-bulb-7w-e27-dl,Blaze AC LED Bulb 7W E27 DL
https://www.othoba.com/,Baby & Kids,https://www.othoba.com/girls-stylish-printed-kameez-sww02730,Girl's Stylish Printed Kameez
https://www.othoba.com/,More,https://www.othoba.com/umay-motorized-treadmill-u3,UMAY Motorized Treadmill U3
https://www.othoba.com/,Food & Grocery,https://www.othoba.com/pomegranate-1-kg-65016,Pomegranate (বেদানা) 1 KG
https://www.othoba.com/,More,https://www.othoba.com/dhaka-to-savar-car-rental-hiace,Dhaka to Savar Car Rental Hiace
https://www.othoba.com/,Electronics,https://www.othoba.com/vigo-infrared-cooker-30a3-smart-cook,ViGO Infrared Cooker 30A3 (Smart Cook)
https://www.othoba.com/,Biking & Riding,https://www.othoba.com/timsun-14070-17-ts-613r-motor-cycle-tubeless-tyre-2,TIMSUN 140/70-17 TS-613R Motor Cycle Tubeless Tyre
https://www.othoba.com/,Baby & Kids,https://www.othoba.com/kids-denim-pant-navy-wr-2082-17-color,Kids Denim Pant Navy WR-2082-17
https://www.othoba.com/,Baby & Kids,https://www.othoba.com/boys-fashionable-printed-panjabi-sww02805,Boy's Fashionable Printed Panjabi
https://www.othoba.com/,More,https://www.othoba.com/anti-foggy-face-shield-5-pcs,Anti Foggy Face Shield 5 pcs
https://www.othoba.com/,More,https://www.othoba.com/wooden-pen-holder-ivc00011,Wooden Pen Holder
https://www.othoba.com/,Home & Living,https://www.othoba.com/super-action-booster-mosquitoes-coil-10-pcs-pack,Super Action Booster Mosquitoes Coil 10 Pcs Pack
https://www.othoba.com/,Mobile,https://www.othoba.com/nokia-106ds-dark-grey,Nokia 106DS Dark Grey
https://www.othoba.com/,Electronics,https://www.othoba.com/vigo-21-miltimedia-speaker-blues-max-02,Vigo 2:1 Miltimedia Speaker Blues Max-02
https://www.othoba.com/,Home & Living,https://www.othoba.com/safemet-fire-extinguisher-co2-5kg-75400,Safemet  Fire Extinguisher CO2 5kg
https://www.othoba.com/,Biking & Riding,https://www.othoba.com/timsun-410-18-15-ts-829-motor-cycle-tubeless-tyre,TIMSUN 4.10-18-15 TS-829 Motor Cycle Tubeless Tyre
https://www.othoba.com/,Home & Living,https://www.othoba.com/sweet-pea-flower-seed-25-pcs,Sweet Pea Flower Seed 25 pcs
https://www.othoba.com/,Mobile,https://www.othoba.com/oppo-f5-4gb-32gbgold,Oppo F5 4GB 32GB Gold
https://www.othoba.com/,Electronics,https://www.othoba.com/click-safe-multi-plug-4skt-2p-5y-901492,Click-Safe Multi-Plug 4SKT 2P 5Y
https://www.othoba.com/,Home & Living,https://www.othoba.com/regal-office-file-cabinet-99207,Regal Office File Cabinet
