website-url,category,products-link-href,products-name
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/pritech-pr-1040-rechargeable-waterproof-hair-trimmer.html,PRITECH PR-1040 Rechargeable Waterproof Hair Trimmer
https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/samsung-metro-350.html,Samsung Metro 350
https://www.pickaboo.com/,Smartphones,https://www.pickaboo.com/redmi-note-9-6gb-128gb.html,Redmi Note 9 6GB/128GB
https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/sinbo-hand-mixer.html,Sinbo Hand Mixer
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/realme-7-pro.html,realme 7 Pro 8GB/128GB With Free T-Shirts
https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/nima-2-in-1-electric-spice-grinder-juicer-silver.html,Nima 2 in 1 Electric Spice Grinder & Juicer - Silver
https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/samsung-b313e-metro-313.html,SAMSUNG Metro 313
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/hugo-boss-125ml-just-different-edt-perfume-for-men.html,HUGO BOSS JUST DIFFERENT MEN EDT 125 ML (737052714028)
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/oppo-f17-pro-8gb-128gb.html,OPPO F17 Pro 8GB/128GB
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/pritech-pr-2322-3-level-adjustment-rechargeable-hair-trimmer.html,PRITECH PR-2322 3 Level Adjustment Rechargeable Hair Trimmer
https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/yogurt-doi-maker.html,Yogurt Doi Maker
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/skmei-9217blwh-fashion-wristwatch-for-men.html,Skmei 9217BLWH Fashion Wristwatch for Men
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/xiaomi-v3-20000mah-usb-c-powerbank.html,Xiaomi V3 20000mAh USB-C Powerbank - White
https://www.pickaboo.com/,Electronics & Appliances,https://www.pickaboo.com/bamboo-choping-board.html,Bamboo Choping Board
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/philips-hl7555-00-juicer-mixer-grinder.html,Philips HL7555/00 Juicer Mixer Grinder
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/lenovo-lp1-tws-waterproof-sport-earbud-bluetooth-5-noise-cancelling-mic-dual-stereo-hifi-bass-touch.html,Lenovo LP1 TWS Waterproof Sport Earbud Bluetooth 5 Noise Cancelling Mic Dual Stereo HIFI Bass Touch
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/skmei-9217brbl-fashion-wristwatch-for-men.html,Skmei 9217BRBL Fashion Wristwatch for Men
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/victoria-s-secret-love-addict-body-mist-250-ml-for-women.html,Victoria's Secret love addict Body Mist 250 ml for Women
https://www.pickaboo.com/,Accessories,https://www.pickaboo.com/casio-men-s-analog-watch-mtp-1381l-1av.html,CASIO  Men's Analog Watch (MTP-1381L-1AV)
https://www.pickaboo.com/,Feature Phones,https://www.pickaboo.com/nokia-3310-2017.html,Nokia 3310 (2017)
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/victoria-s-secret-bombshell-seduction-body-mist.html,Victoria’s Secret Bombshell Seduction Body Mist
https://www.pickaboo.com/,Lifestyle,https://www.pickaboo.com/pritech-pr-1821-3-in-1-beard-trimer-for-men.html,PRITECH PR-1821 3 in 1 Beard Trimer for Men
