website-url,category,products-link-href,products-name
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/control-on-off-switch-15a.html,"Control/On-Off Switch, 15A"
https://sindabad.com/,Industrial Items,https://sindabad.com/air-grinding-1-4-inches.html,"Air Grinding, 1/4 inches"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/bd-box-16-inches-x-12-inches-x-6-inches.html,"DB Box/Panel Board, 16 Inches x 12 Inches x 6 Inches"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/schneider-electric-250a-3p-36ka-mccb-fixed-type-trip-unit.html,"Schneider Electric 250A, 3P, 36kA, MCCB (Fixed type Trip Unit)"
https://sindabad.com/,Personal Hygiene & Beauty,https://sindabad.com/lux-soft-touch-mini-soap.html,Lux Soft Touch Mini Soap
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/pure-fish-curry-20gm.html,"ACI Pure Fish Curry, 20gm"
https://sindabad.com/,Electronics & Appliances,https://sindabad.com/crompton-geyser-arno-neo-25l.html,"Crompton Geyser, Arno Neo, 25L"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/schneider-nsx-adjustable-mccb-1600a-50ka.html,"Schneider Electric 1600A, 3P, 50kA, MCCB (Adjustable type Trip Unit)"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/aci-pure-biriyani-masala-40-gm.html,"ACI Pure Biriyani Masala, 40gm"
https://sindabad.com/,Industrial Items,https://sindabad.com/ss-royal-bolt-10x100mm.html,"SS Royal Bolt, 10x100mm"
https://sindabad.com/,Stationery & Office,https://sindabad.com/double-a-offset-paper-a4-80-gsm-pack-of-500-sheets-ream.html,"Double A Offset Paper, A4, 80 GSM (Pack of 500 Sheets)"
https://sindabad.com/,Chemicals & Dyes,https://sindabad.com/potassium-permanganate-ppm-kmno4-50kg-china.html,"Potassium permanganate PPM( KMnO4), 50kg, China"
https://sindabad.com/,Personal Hygiene & Beauty,https://sindabad.com/3-ply-earloop-disposable-face-mask-pack-of-20-piece.html,"Face Mask, 3 Ply Disposable, Pack of 20 Pieces"
https://sindabad.com/,Industrial Items,https://sindabad.com/bismillah-cotton-knitted-gloves-4-ply-white.html,"Cotton Knitted Gloves, 4 Ply, White"
https://sindabad.com/,Electronics & Appliances,https://sindabad.com/crompton-geyser-solarium-neo-25ltr.html,"Crompton Geyser, Solarium Neo, 25Ltr"
https://sindabad.com/,Mobile & Accessories,https://sindabad.com/2-in-1-usb-card-reader-2-0-usb-2-0-3-port-hub-sd-tf-card-reader.html,2 in 1 USB Card Reader 2.0 + USB 2.0 3 Port Hub - SD / TF Card Reader
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/danish-lexus-vegetable-calcium-cracker-240gm.html,"Danish Lexus Vegetable Calcium Cracker, 240gm"
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/cotton-tape-1-2-inch-30-yard.html,"Cotton Tape, 1/2 Inch, 30 Yard"
https://sindabad.com/,Industrial Items,https://sindabad.com/star-plastic-straw-rope-white.html,"Star Plastic Straw Rope, White"
https://sindabad.com/,Industrial Items,https://sindabad.com/golden-thread-cutter-tc-805b.html,Golden Thread Cutter TC-805B
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/abb-auxiliary-contact-block-ca5x-10.html,ABB Auxiliary Contact Block CA5X-10
https://sindabad.com/,Industrial Items,https://sindabad.com/strong-h-cutting-machine-knife-08-inches.html,"Strong H Cutting Machine Knife, 08 inches"
https://sindabad.com/,Stationery & Office,https://sindabad.com/folder-file-transparent-a4.html,"Folder File, Transparent, A4"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/aathash-rice.html,"Aathash Rice, 1kg"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/danish-full-cream-powder-milk-500gm.html,"Danish Full Cream Powder Milk, 500gm"
https://sindabad.com/,Industrial Items,https://sindabad.com/air-pneumatic-pipe-6-mm.html,"Air Pneumatic pipe, 6 mm"
https://sindabad.com/,Industrial Items,https://sindabad.com/nikto-both-side-adhesive-tape-40-yard-0-5-inch.html,"Nikto Both Side Adhesive Tape, 40 yard, 0.5 inch"
https://sindabad.com/,Computer & IT,https://sindabad.com/a4-tech-kr-85-usb-bangla-keyboard-black.html,A4 Tech KR-85 Black Wired Multimedia Keyboard with Bangla
https://sindabad.com/,Industrial Items,https://sindabad.com/4-inch-handle.html,4 Inch Handle
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/micronet-sp1162s-2-port-wall-socket-rj45-cat-6-with-modular-mk-box.html,"Micronet SP1162S, 2 Port Wall Socket, RJ45, Cat 6 with Modular & MK Box"
https://sindabad.com/,Industrial Items,https://sindabad.com/l-key-20-mm.html,"L-Key, 20 mm"
https://sindabad.com/,Electronics & Appliances,https://sindabad.com/sony-alpha-a6000-mirrorless-digital-camera-with-16-50mm-lens.html,Sony Alpha A6000 Mirrorless Digital Camera With 16-50mm lens
https://sindabad.com/,Electrical & Lighting,https://sindabad.com/schneider-nsx-adjustable-mccb-1250a-50ka.html,"Schneider Electric 1250A, 3P, 50kA, MCCB (Adjustable type Trip Unit)"
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/nescafe-instant-coffee-orginal-bottle-210gm.html,"Nescafe Instant Coffee Original Bottle, 210gm"
https://sindabad.com/,Mobile & Accessories,https://sindabad.com/awei-a810bl-bluetooth-4-0-earphones.html,Awei A810Bl Bluetooth 4.0 Earphones
https://sindabad.com/,Grocery & Essentials,https://sindabad.com/ispahani-mirzapore-tea-bags-pack-of-50.html,Ispahani Mirzapore Tea Bags (Pack of 50)
https://sindabad.com/,Industrial Items,https://sindabad.com/mdf-board-6mm.html,"MDF Board, 6mm, 4x8 Feet"
https://sindabad.com/,Computer & IT,https://sindabad.com/logitech-ap-wireless-presenter-r400.html,"Logitech AP Wireless Presenter, R400"
